candidate_id,activity_id_a,activity_id_b,candidate_reasons,candidate_confidence,review_status,merge_applied
cand-6424e79901d8105a,tpa-0031dc58b3fc1d,tpa-24845ca4544447,exact_normalized_address;shared_city_building_folio,medium,pending_human_review,no
cand-e63e2e2a8efc38fa,tpa-0031dc58b3fc1d,tpa-543e744c7a45c5,exact_normalized_address,low,pending_human_review,no
cand-e173a685aed17575,tpa-0031dc58b3fc1d,tpa-cc0714384a05a8,exact_normalized_address;shared_city_building_folio,medium,pending_human_review,no
cand-daff75f412a2d560,tpa-01298bb3030bc9,tpa-c9a60883826e43,exact_normalized_address,low,pending_human_review,no
cand-16c1f07a82ffadf6,tpa-02336b02cb67ca,tpa-e50fea9487c27d,exact_normalized_address,low,pending_human_review,no
cand-27c8b6db6cfd5d88,tpa-027b356f1ea6f1,tpa-50a7fd05573da1,shared_city_building_folio,low,pending_human_review,no
cand-fc4728baa940f232,tpa-0294796bd57629,tpa-6d768f585bcc37,exact_normalized_address,low,pending_human_review,no
cand-6b998ec5ca66638a,tpa-0294796bd57629,tpa-f140a64e823f21,exact_normalized_address,low,pending_human_review,no
cand-2baa5509aa1377c8,tpa-0296081f293823,tpa-08a1c12a9f9038,exact_normalized_address,low,pending_human_review,no
cand-9749954e6d76c42f,tpa-0296081f293823,tpa-0d3837c4e9d315,exact_normalized_address,low,pending_human_review,no
cand-98d6c08f4219e3a3,tpa-0296081f293823,tpa-3f6ded89aebfa3,exact_normalized_address,low,pending_human_review,no
cand-0cf56786a057e130,tpa-0296081f293823,tpa-4d566dea5d9045,exact_normalized_address,low,pending_human_review,no
cand-af205b2b9e55e5cf,tpa-0296081f293823,tpa-4e54d20537af5d,exact_normalized_address,low,pending_human_review,no
cand-4291d6ad6b79ff39,tpa-0296081f293823,tpa-5da8c7f504a7c2,exact_normalized_address,low,pending_human_review,no
cand-90c64800a68e3ef2,tpa-0296081f293823,tpa-639c5de6136528,exact_normalized_address,low,pending_human_review,no
cand-daac8a6519ec59ee,tpa-0296081f293823,tpa-6ce45f881f1a0a,exact_normalized_address,low,pending_human_review,no
cand-fdb0aeaa6a4a7759,tpa-0296081f293823,tpa-b10575f6418799,exact_normalized_address,low,pending_human_review,no
cand-d17288630f22077a,tpa-0296081f293823,tpa-b2f916fe77020c,exact_normalized_address,low,pending_human_review,no
cand-7065e3bb3fbab9d3,tpa-0296081f293823,tpa-bb9f17ba7450b0,exact_normalized_address,low,pending_human_review,no
cand-2cfd43b9fbb3a401,tpa-0296081f293823,tpa-c0840dcddf84f5,exact_normalized_address,low,pending_human_review,no
cand-a849b208e0e7da0a,tpa-0296081f293823,tpa-c45e95d0d0bb78,exact_normalized_address,low,pending_human_review,no
cand-722389d80ef7dd34,tpa-0296081f293823,tpa-dbb325a1b4622b,exact_normalized_address,low,pending_human_review,no
cand-f49617de6bd3493b,tpa-0296081f293823,tpa-dda930a5a7507d,exact_normalized_address,low,pending_human_review,no
cand-6bd0488774c44bbe,tpa-0296081f293823,tpa-f580fde975c97d,exact_normalized_address,low,pending_human_review,no
cand-e27f9d075e1b2ab2,tpa-0296081f293823,tpa-f75d1b96128237,exact_normalized_address,low,pending_human_review,no
cand-66212113085f4c77,tpa-02f6ebaca44453,tpa-cda72cb79af181,exact_normalized_address,low,pending_human_review,no
cand-c523bf0b9108cd0a,tpa-032f33cd19b08e,tpa-fcda5c3b44f310,exact_normalized_address,low,pending_human_review,no
cand-0cb86ea1ccc234b5,tpa-03f4eacb9e9ccd,tpa-163c69906d3b34,exact_normalized_address,low,pending_human_review,no
cand-599360e94e502157,tpa-03f4eacb9e9ccd,tpa-1e226b69b46a00,exact_normalized_address,low,pending_human_review,no
cand-fa50875472ce4aca,tpa-03f4eacb9e9ccd,tpa-436314f6369a61,exact_normalized_address,low,pending_human_review,no
cand-4576dda2c7cffaa2,tpa-03f4eacb9e9ccd,tpa-6b3c6c3585b6a5,exact_normalized_address,low,pending_human_review,no
cand-7bcaebad0635e3b2,tpa-03f4eacb9e9ccd,tpa-76c64af42041ad,exact_normalized_address,low,pending_human_review,no
cand-ee72e008056eb07f,tpa-045e51addb8e4c,tpa-9f82d40156267e,shared_city_building_folio,low,pending_human_review,no
cand-7739754fb070072c,tpa-0484a3f2f67485,tpa-5133fc4419a030,shared_city_building_folio,low,pending_human_review,no
cand-5748e3577c02122f,tpa-0506341e9e7f4c,tpa-29d52b9c52c469,exact_normalized_address,low,pending_human_review,no
cand-fa2ec9f400dda7f3,tpa-0506341e9e7f4c,tpa-a357330cddd2cf,exact_normalized_address,low,pending_human_review,no
cand-5fb342e3a931fb17,tpa-05aa6d4bf41c3b,tpa-0e76aa549d575a,exact_normalized_address,low,pending_human_review,no
cand-a3e89b89bd347023,tpa-05aa6d4bf41c3b,tpa-3a5d351545a77a,exact_normalized_address,low,pending_human_review,no
cand-0176a3b54248337e,tpa-05aa6d4bf41c3b,tpa-3f887726df0ff4,exact_normalized_address,low,pending_human_review,no
cand-9c4b3f5f80d045e4,tpa-05aa6d4bf41c3b,tpa-3fffd2b9db4775,exact_normalized_address,low,pending_human_review,no
cand-b77361ecce18d8d2,tpa-0742b46bc5e61c,tpa-661bab5f7188ad,exact_normalized_address,low,pending_human_review,no
cand-88120342052a2f8d,tpa-0844508e90a91e,tpa-ec86e0e5aaa45c,exact_normalized_address;shared_city_building_folio,medium,pending_human_review,no
cand-7ccd312c2371fb82,tpa-0899f92d0558ac,tpa-4dbada28c448f4,exact_normalized_address,low,pending_human_review,no
cand-5d7e934c9352c403,tpa-0899f92d0558ac,tpa-929536658247fb,exact_normalized_address,low,pending_human_review,no
cand-d0dfee7a907d0697,tpa-0899f92d0558ac,tpa-e4e8c0c9e5dd84,exact_normalized_address,low,pending_human_review,no
cand-e11bf341f670facc,tpa-08a1c12a9f9038,tpa-0d3837c4e9d315,exact_normalized_address,low,pending_human_review,no
cand-f54dbfabe9f9f8ad,tpa-08a1c12a9f9038,tpa-3f6ded89aebfa3,exact_normalized_address,low,pending_human_review,no
cand-e1591f0424f9bab2,tpa-08a1c12a9f9038,tpa-4d566dea5d9045,exact_normalized_address,low,pending_human_review,no
cand-aeb6406e17ae040c,tpa-08a1c12a9f9038,tpa-4e54d20537af5d,exact_normalized_address,low,pending_human_review,no
cand-214182188cccb164,tpa-08a1c12a9f9038,tpa-5da8c7f504a7c2,exact_normalized_address,low,pending_human_review,no
cand-479ae2c08bcce309,tpa-08a1c12a9f9038,tpa-639c5de6136528,exact_normalized_address,low,pending_human_review,no
cand-167e84815cb668d2,tpa-08a1c12a9f9038,tpa-6ce45f881f1a0a,exact_normalized_address,low,pending_human_review,no
cand-8e7dfb981ea9f3a8,tpa-08a1c12a9f9038,tpa-b10575f6418799,exact_normalized_address,low,pending_human_review,no
cand-9c31e9870bf08d20,tpa-08a1c12a9f9038,tpa-b2f916fe77020c,exact_normalized_address,low,pending_human_review,no
cand-1982b150cff6fc79,tpa-08a1c12a9f9038,tpa-bb9f17ba7450b0,exact_normalized_address,low,pending_human_review,no
cand-ad5b36dc9c1e00d5,tpa-08a1c12a9f9038,tpa-c0840dcddf84f5,exact_normalized_address,low,pending_human_review,no
cand-e4c06b33d9b3307b,tpa-08a1c12a9f9038,tpa-c45e95d0d0bb78,exact_normalized_address,low,pending_human_review,no
cand-709f7feb92b7f635,tpa-08a1c12a9f9038,tpa-dbb325a1b4622b,exact_normalized_address,low,pending_human_review,no
cand-8bfa74c5d6f297e5,tpa-08a1c12a9f9038,tpa-dda930a5a7507d,exact_normalized_address,low,pending_human_review,no
cand-79248d9f47201fc4,tpa-08a1c12a9f9038,tpa-f580fde975c97d,exact_normalized_address,low,pending_human_review,no
cand-9b0b229636b5ddec,tpa-08a1c12a9f9038,tpa-f75d1b96128237,exact_normalized_address,low,pending_human_review,no
cand-58536ee5070dbe79,tpa-091ed6d5018ab8,tpa-835286970c5efb,exact_normalized_address;shared_city_building_folio,medium,pending_human_review,no
cand-38e684887cfec36e,tpa-09b2b1642a06c4,tpa-281313a5dff50d,exact_normalized_address,low,pending_human_review,no
cand-71dbd396ef6325fe,tpa-09b2b1642a06c4,tpa-3e20d09012ddfd,exact_normalized_address,low,pending_human_review,no
cand-e1e77dad15c192fc,tpa-09b2b1642a06c4,tpa-d987e6142b19c9,exact_normalized_address,low,pending_human_review,no
cand-bc33516d70ab2394,tpa-09b5120d1d7c24,tpa-0c24554388268b,exact_normalized_address,low,pending_human_review,no
cand-e182ce9533644b9a,tpa-09b5120d1d7c24,tpa-520eaf72c0ac8b,exact_normalized_address,low,pending_human_review,no
cand-f19a4393fdc2eff4,tpa-09b5120d1d7c24,tpa-e407dc24ba743f,exact_normalized_address,low,pending_human_review,no
cand-eabd7a6fff12510d,tpa-09b8b1f5465cfb,tpa-258d15e56eb1f0,shared_city_building_folio,low,pending_human_review,no
cand-dfd4687c0f93f0f1,tpa-0a90fc82c7f60e,tpa-33ef6f465319f0,exact_normalized_address,low,pending_human_review,no
cand-d28b4f16daf4f4c9,tpa-0a90fc82c7f60e,tpa-71c734b38bf051,exact_normalized_address,low,pending_human_review,no
cand-7f5e2a36c52cd3a5,tpa-0b0951574d14af,tpa-202acca313e70a,exact_normalized_address,low,pending_human_review,no
cand-e98df8e83f2f3678,tpa-0b0951574d14af,tpa-97d738ba61f354,exact_normalized_address,low,pending_human_review,no
cand-ae799d0a53c96bc0,tpa-0b0951574d14af,tpa-a77d48b8d5071b,exact_normalized_address,low,pending_human_review,no
cand-cfb0d02e9bf1b496,tpa-0b33f5aeb24483,tpa-fd8572682df12d,exact_normalized_address,low,pending_human_review,no
cand-367f4c6f9e1a41f8,tpa-0b81bbded39d48,tpa-aec0a9bc48dce7,exact_normalized_address,low,pending_human_review,no
cand-74a88edc56a9236b,tpa-0ba4a20a7efed0,tpa-5ba0e6458aee35,exact_normalized_address,low,pending_human_review,no
cand-e28dd86866efca62,tpa-0c24554388268b,tpa-520eaf72c0ac8b,exact_normalized_address,low,pending_human_review,no
cand-7a1a95d510ee4615,tpa-0c24554388268b,tpa-e407dc24ba743f,exact_normalized_address,low,pending_human_review,no
cand-86b6626518e67076,tpa-0d0772df9c848a,tpa-d570dccd6fbf7c,exact_normalized_address;shared_city_building_folio,medium,pending_human_review,no
cand-04932f94fe0f7bd2,tpa-0d3837c4e9d315,tpa-3f6ded89aebfa3,exact_normalized_address,low,pending_human_review,no
cand-eb23a1b4e0ecbb91,tpa-0d3837c4e9d315,tpa-4d566dea5d9045,exact_normalized_address,low,pending_human_review,no
cand-830a8f0035718387,tpa-0d3837c4e9d315,tpa-4e54d20537af5d,exact_normalized_address,low,pending_human_review,no
cand-8523e3541bfd9705,tpa-0d3837c4e9d315,tpa-5da8c7f504a7c2,exact_normalized_address,low,pending_human_review,no
cand-55a2402edaba59b1,tpa-0d3837c4e9d315,tpa-639c5de6136528,exact_normalized_address,low,pending_human_review,no
cand-13cc549b2ccad808,tpa-0d3837c4e9d315,tpa-6ce45f881f1a0a,exact_normalized_address,low,pending_human_review,no
cand-96313d1421327f96,tpa-0d3837c4e9d315,tpa-b10575f6418799,exact_normalized_address,low,pending_human_review,no
cand-8a35bfcaef2235c5,tpa-0d3837c4e9d315,tpa-b2f916fe77020c,exact_normalized_address,low,pending_human_review,no
cand-42db5fd06d229be1,tpa-0d3837c4e9d315,tpa-bb9f17ba7450b0,exact_normalized_address,low,pending_human_review,no
cand-262229f1a6c646b1,tpa-0d3837c4e9d315,tpa-c0840dcddf84f5,exact_normalized_address,low,pending_human_review,no
cand-265179486cc5a7f9,tpa-0d3837c4e9d315,tpa-c45e95d0d0bb78,exact_normalized_address,low,pending_human_review,no
cand-7b654ff29f8d29f1,tpa-0d3837c4e9d315,tpa-dbb325a1b4622b,exact_normalized_address,low,pending_human_review,no
cand-9e8aebdb584ac94e,tpa-0d3837c4e9d315,tpa-dda930a5a7507d,exact_normalized_address,low,pending_human_review,no
cand-e362009b518bbd36,tpa-0d3837c4e9d315,tpa-f580fde975c97d,exact_normalized_address,low,pending_human_review,no
cand-27c70bf306e103df,tpa-0d3837c4e9d315,tpa-f75d1b96128237,exact_normalized_address,low,pending_human_review,no
cand-c848967fc27dfd4d,tpa-0daba79fdc3269,tpa-54ff524ddc9eed,exact_normalized_address,low,pending_human_review,no
cand-03f93478424236f2,tpa-0daba79fdc3269,tpa-5f28050f927cc8,exact_normalized_address,low,pending_human_review,no
cand-bcd2327b419022d5,tpa-0db7a85e11ccea,tpa-5bf38c9428217f,exact_normalized_address,low,pending_human_review,no
cand-ca28d3c2d296e716,tpa-0e1f94acc4af98,tpa-5200b32795a081,shared_city_building_folio,low,pending_human_review,no
cand-091350cff9263b7f,tpa-0e76aa549d575a,tpa-3a5d351545a77a,exact_normalized_address,low,pending_human_review,no
cand-6b03771947f0bd58,tpa-0e76aa549d575a,tpa-3f887726df0ff4,exact_normalized_address,low,pending_human_review,no
cand-ef97cfa5389642c0,tpa-0e76aa549d575a,tpa-3fffd2b9db4775,exact_normalized_address,low,pending_human_review,no
cand-fa730c1d98765298,tpa-0e9873042aff46,tpa-6d53049560016b,shared_city_building_folio,low,pending_human_review,no
cand-dd31eddbe0d31900,tpa-0e9c1f282c3a71,tpa-3c7b510d74f0d2,exact_normalized_address,low,pending_human_review,no
cand-60ae78503912daaa,tpa-0ed1fa46c340e8,tpa-840bd70b6621ac,exact_normalized_address,low,pending_human_review,no
cand-af1bf37f40ad7ba4,tpa-0f28f1007860a8,tpa-3af3092a60248c,exact_normalized_address,low,pending_human_review,no
cand-4c6117db790e53a1,tpa-1048b6cb3845c1,tpa-bfe47951ea5bea,exact_normalized_address,low,pending_human_review,no
cand-b5ef769450096616,tpa-117c8bdd587be3,tpa-641715e6bef607,exact_normalized_address,low,pending_human_review,no
cand-d4f23c535b7d4d31,tpa-11b60937dcffaf,tpa-d4e8eb8a4cafd0,exact_normalized_address,low,pending_human_review,no
cand-ec0b4b6befc67b0d,tpa-11b60937dcffaf,tpa-e3b95482fa6a8e,exact_normalized_address,low,pending_human_review,no
cand-ad2fb7cd2245a69a,tpa-122e7a89c3f149,tpa-6fd7f19befdce6,exact_normalized_address;shared_city_building_folio,medium,pending_human_review,no
cand-4b805656507b23a5,tpa-123af623dee9b0,tpa-db2f95ad156d99,exact_normalized_address,low,pending_human_review,no
cand-422325e20cd89a7a,tpa-12634ea2ae0857,tpa-7da8b42cf6ae43,exact_normalized_address,low,pending_human_review,no
cand-3a99476719474373,tpa-13b45f314bd0a9,tpa-b4ad70f73e1d4b,exact_normalized_address,low,pending_human_review,no
cand-182ec827af10eb82,tpa-13c2ceb279e24c,tpa-49869351fbf811,shared_city_building_folio,low,pending_human_review,no
cand-758d2b92df905b56,tpa-14aafd7d6f9a3c,tpa-c80f3ee83f25dc,exact_normalized_address,low,pending_human_review,no
cand-a08b54a1015b8071,tpa-159e2a073a10e3,tpa-3212f3cc3b2855,exact_normalized_address;shared_city_building_folio,medium,pending_human_review,no
cand-8962d4dc40bf2382,tpa-159e2a073a10e3,tpa-35b9b97f3d7227,exact_normalized_address;shared_city_building_folio,medium,pending_human_review,no
cand-b7fd53f1cc125abd,tpa-159e2a073a10e3,tpa-753135ef983deb,exact_normalized_address;shared_city_building_folio,medium,pending_human_review,no
cand-60fb79674ca0c757,tpa-159e2a073a10e3,tpa-837ab0ae3ea439,exact_normalized_address;shared_city_building_folio,medium,pending_human_review,no
cand-a78f1fce4be693c1,tpa-159e2a073a10e3,tpa-94b8d8e526d617,exact_normalized_address;shared_city_building_folio,medium,pending_human_review,no
cand-439a809bdf4b609f,tpa-159e2a073a10e3,tpa-a3cc13934af166,exact_normalized_address;shared_city_building_folio,medium,pending_human_review,no
cand-b2acaae2f20c78dc,tpa-159e2a073a10e3,tpa-ca5fb9eae9e92a,exact_normalized_address;shared_city_building_folio,medium,pending_human_review,no
cand-1a30fc7ab330ea16,tpa-159e2a073a10e3,tpa-d48724c8c9c6cd,exact_normalized_address,low,pending_human_review,no
cand-dbf5690f64240e1c,tpa-159e2a073a10e3,tpa-dba5a1180e73b0,exact_normalized_address;shared_city_building_folio,medium,pending_human_review,no
cand-fd36637bd2875625,tpa-159e2a073a10e3,tpa-dc7bf4ecde575f,exact_normalized_address;shared_city_building_folio,medium,pending_human_review,no
cand-6d55b092f280c4e6,tpa-159e2a073a10e3,tpa-f1c346905aac98,exact_normalized_address,low,pending_human_review,no
cand-6bdb87729b7f6a3f,tpa-15d176e8cb7277,tpa-b2287f3bd9d6af,exact_normalized_address,low,pending_human_review,no
cand-8653abfd6d87e755,tpa-15de663c1b00e5,tpa-99954025dabf54,exact_normalized_address;shared_city_building_folio,medium,pending_human_review,no
cand-4a5d593b81fe48bd,tpa-163c69906d3b34,tpa-1e226b69b46a00,exact_normalized_address,low,pending_human_review,no
